,player_id,player_name,toc,fgm,fga,tpm,tpa,ftm,fta,blk,ast,oreb,dreb,tov,pf,stl,plus,minus,plus_minus,possessions,points,gp,team_abbrev,off_rating,def_rating,efg_percent,ts_percent,oreb_percent,dreb_percent,ast_percent,blk_percent,stl_percent,tov_percent,usg_percent,min_season,max_season
0,2210,Richard Jefferson,4359.0,10,19,0,5,5,11,0,0,0,10,6,9,4,146,285,-139,166,25.0,3,CLE,87.95180722891567,171.6867469879518,52.6,52.4,0.0,6.0,0.0,0.0,2.4,3.6,18.0,2017,2017
1,2399,Mike Dunleavy,5304.0,12,33,10,22,0,0,0,2,0,0,5,5,0,381,322,59,221,34.0,4,CLE,172.39819004524887,145.70135746606334,51.5,51.5,0.0,0.0,0.9,0.0,0.0,2.3,17.2,2017,2017
2,2403,Nene,1200.0,4,4,0,0,4,4,0,2,2,2,0,4,0,76,68,8,40,12.0,1,NYK,190.0,170.0,100.0,104.2,5.0,5.0,5.0,0.0,0.0,0.0,14.4,2017,2017
3,2544,LeBron James,25575.0,69,156,6,47,52,88,6,114,20,76,54,36,4,1375,1336,39,937,196.0,4,CLE,146.74493062966917,142.5827107790822,46.2,50.3,2.1,8.1,12.2,0.6,0.4,5.8,26.5,2017,2017
4,2546,Carmelo Anthony,5478.0,24,60,6,18,12,12,0,0,6,18,12,24,6,198,444,-246,234,66.0,1,NYK,84.61538461538461,189.74358974358975,45.0,50.6,2.6,7.7,0.0,0.0,2.6,5.1,33.0,2017,2017
5,2747,JR Smith,22568.0,48,149,38,127,0,0,4,18,8,28,5,16,20,1141,1183,-42,803,134.0,4,CLE,142.09215442092153,147.32254047322542,45.0,45.0,1.0,3.5,2.2,0.5,2.5,0.6,19.2,2017,2017
6,2772,Trevor Ariza,2082.0,8,18,6,16,0,0,0,2,0,0,2,2,0,114,130,-16,72,22.0,1,NYK,158.33333333333334,180.55555555555554,61.1,61.1,0.0,0.0,2.8,0.0,0.0,2.8,27.8,2017,2017
7,101112,Channing Frye,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,12,0.0,1,CLE,150.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2017
8,200768,Kyle Lowry,7845.0,15,45,5,20,25,30,0,10,0,10,15,5,0,425,345,80,265,60.0,1,NYK,160.37735849056602,130.18867924528303,38.9,51.5,0.0,3.8,3.8,0.0,0.0,5.7,27.6,2017,2017
9,201145,Jeff Green,3592.0,4,12,4,8,0,4,4,4,0,20,12,0,0,232,116,116,124,12.0,1,NYK,187.09677419354838,93.54838709677419,50.0,43.6,0.0,16.1,3.2,3.2,0.0,9.7,20.8,2017,2017
10,201147,Corey Brewer,552.0,0,0,0,0,0,0,0,2,2,0,0,0,0,28,52,-24,18,0.0,1,NYK,155.55555555555554,288.8888888888889,,,11.1,0.0,11.1,0.0,0.0,0.0,0.0,2017,2017
11,201149,Joakim Noah,4404.0,0,6,0,0,0,0,0,12,6,24,6,6,0,198,222,-24,162,0.0,1,NYK,122.22222222222223,137.03703703703704,0.0,0.0,3.7,14.8,7.4,0.0,0.0,3.7,7.4,2017,2017
12,201565,Derrick Rose,6360.0,12,48,0,0,0,0,6,6,12,6,12,0,0,246,456,-210,276,24.0,1,NYK,89.1304347826087,165.2173913043478,25.0,25.0,4.3,2.2,2.2,2.2,0.0,4.3,21.7,2017,2017
13,201567,Kevin Love,25575.0,73,202,19,68,68,74,11,22,36,86,28,54,27,1375,1336,39,937,233.0,4,CLE,146.74493062966917,142.5827107790822,40.8,49.7,3.8,9.2,2.3,1.2,2.9,3.0,28.0,2017,2017
14,201569,Eric Gordon,2650.0,8,18,6,14,0,0,0,4,0,2,2,6,2,142,146,-4,92,22.0,1,NYK,154.34782608695653,158.69565217391303,61.1,61.1,0.0,2.2,4.3,0.0,2.2,2.2,21.7,2017,2017
15,201571,D.J. Augustin,2768.0,16,32,4,16,4,4,0,8,0,4,4,0,4,216,96,120,88,40.0,1,NYK,245.45454545454547,109.0909090909091,56.2,59.2,0.0,4.5,9.1,0.0,4.5,4.5,42.9,2017,2017
16,201583,Ryan Anderson,2326.0,6,14,6,10,0,0,0,2,6,2,0,4,0,122,108,14,82,18.0,1,NYK,148.78048780487805,131.70731707317074,64.3,64.3,7.3,2.4,2.4,0.0,0.0,0.0,17.1,2017,2017
17,201584,Courtney Lee,5544.0,0,30,0,12,0,0,6,0,6,6,12,0,0,246,264,-18,228,0.0,1,NYK,107.89473684210526,115.78947368421052,0.0,0.0,2.6,2.6,0.0,2.6,0.0,5.3,18.4,2017,2017
18,201586,Serge Ibaka,5592.0,28,48,0,0,8,12,0,4,8,12,4,12,4,228,332,-104,196,64.0,1,NYK,116.3265306122449,169.3877551020408,58.3,60.1,4.1,6.1,2.0,0.0,2.0,2.0,29.2,2017,2017
19,201935,James Harden,2690.0,10,16,4,10,10,16,0,22,0,10,2,4,0,144,148,-4,96,34.0,1,NYK,150.0,154.16666666666666,75.0,73.8,0.0,10.4,22.9,0.0,0.0,2.1,26.1,2017,2017
20,201942,DeMar DeRozan,8175.0,35,95,0,0,40,40,0,10,10,25,10,5,10,530,320,210,285,110.0,1,NYK,185.96491228070175,112.28070175438596,36.8,48.8,3.5,8.8,3.5,0.0,3.5,3.5,43.0,2017,2017
21,201943,Brandon Jennings,438.0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,198,-198,18,0.0,1,NYK,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,2017,2017
22,201960,DeMarre Carroll,7215.0,5,20,5,15,5,5,5,10,5,10,0,20,5,395,300,95,250,20.0,1,NYK,158.0,120.0,37.5,45.0,2.0,4.0,4.0,2.0,2.0,0.0,8.9,2017,2017
23,202335,Patrick Patterson,4575.0,10,15,5,10,0,0,0,5,5,10,0,5,5,350,190,160,150,25.0,1,NYK,233.33333333333334,126.66666666666667,83.3,83.3,3.3,6.7,3.3,0.0,3.3,0.0,10.0,2017,2017
24,202498,Lance Thomas,1422.0,0,0,0,0,0,0,0,0,0,0,6,0,6,48,60,-12,72,0.0,1,NYK,66.66666666666667,83.33333333333333,,,0.0,0.0,0.0,0.0,8.3,8.3,8.3,2017,2017
25,202681,Kyrie Irving,20642.0,93,185,38,68,4,4,8,26,6,25,24,25,12,1032,1101,-69,747,228.0,4,CLE,138.15261044176708,147.38955823293173,60.5,61.0,0.8,3.3,3.5,1.1,1.6,3.2,28.2,2017,2017
26,202684,Tristan Thompson,18077.0,24,42,0,0,0,13,16,8,29,82,0,23,4,1054,750,304,648,48.0,4,CLE,162.65432098765433,115.74074074074075,57.1,50.3,4.5,12.7,1.2,2.5,0.6,0.0,7.4,2017,2017
27,202685,Jonas Valanciunas,6285.0,15,60,0,0,0,0,5,0,25,40,5,0,0,315,300,15,215,30.0,1,NYK,146.51162790697674,139.53488372093022,25.0,25.0,11.6,18.6,0.0,2.3,0.0,2.3,30.2,2017,2017
28,202687,Bismack Biyombo,2292.0,4,8,0,0,4,16,0,0,8,0,0,8,0,144,80,64,88,12.0,1,NYK,163.63636363636363,90.9090909090909,50.0,39.9,9.1,0.0,0.0,0.0,0.0,0.0,17.1,2017,2017
29,202696,Nikola Vucevic,4496.0,12,20,0,0,4,8,0,4,8,28,12,8,0,164,276,-112,160,28.0,1,NYK,102.5,172.5,60.0,59.5,5.0,17.5,2.5,0.0,0.0,7.5,22.2,2017,2017
30,202697,Iman Shumpert,5337.0,10,15,2,2,0,0,0,18,0,10,5,19,7,173,367,-194,184,22.0,4,CLE,94.02173913043478,199.45652173913044,73.3,73.3,0.0,5.4,9.8,0.0,3.8,2.7,10.9,2017,2017
31,202709,Cory Joseph,2075.0,0,10,0,0,0,0,0,5,0,5,0,0,0,260,35,225,65,0.0,1,NYK,400.0,53.84615384615385,0.0,0.0,0.0,7.7,7.7,0.0,0.0,0.0,15.4,2017,2017
32,202732,DeAndre Liggins,384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,30,0.0,1,CLE,600.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2017
33,203082,Terrence Ross,965.0,0,0,0,0,0,0,0,0,0,5,5,0,0,25,35,-10,35,0.0,1,NYK,71.42857142857143,100.0,,,0.0,14.3,0.0,0.0,0.0,14.3,14.3,2017,2017
34,203095,Evan Fournier,6396.0,20,44,8,20,8,8,0,20,0,8,4,12,0,332,368,-36,228,56.0,1,NYK,145.6140350877193,161.40350877192984,54.5,58.9,0.0,3.5,8.8,0.0,0.0,1.8,22.6,2017,2017
35,203200,Justin Holiday,2010.0,0,6,0,0,0,0,0,0,0,6,0,0,6,48,252,-204,114,0.0,1,NYK,42.10526315789474,221.05263157894737,0.0,0.0,0.0,5.3,0.0,0.0,5.3,0.0,5.3,2017,2017
36,203898,Tyler Ennis,188.0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,12,-6,4,0.0,1,NYK,150.0,300.0,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2017
37,203901,Elfrid Payton,6476.0,16,28,0,4,0,8,4,20,0,12,0,8,0,308,348,-40,228,32.0,1,NYK,135.08771929824562,152.6315789473684,57.1,50.8,0.0,5.3,8.8,1.8,0.0,0.0,13.8,2017,2017
38,203909,KJ McDaniels,1024.0,4,12,0,4,0,0,0,0,0,2,0,0,0,44,44,0,36,8.0,1,NYK,122.22222222222223,122.22222222222223,33.3,33.3,0.0,5.6,0.0,0.0,0.0,0.0,33.3,2017,2017
39,203912,C.J. Wilcox,996.0,0,8,0,8,0,0,0,4,0,0,0,0,0,44,16,28,28,0.0,1,NYK,157.14285714285714,57.142857142857146,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,28.6,2017,2017
40,203932,Aaron Gordon,4232.0,8,20,4,12,4,8,4,8,0,8,4,12,12,144,292,-148,156,24.0,1,NYK,92.3076923076923,187.17948717948718,50.0,51.0,0.0,5.1,5.1,2.6,7.7,2.6,17.6,2017,2017
41,203991,Clint Capela,1678.0,6,10,0,0,4,6,2,2,2,4,2,4,0,74,92,-18,60,16.0,1,NYK,123.33333333333333,153.33333333333334,60.0,63.3,3.3,6.7,3.3,3.3,0.0,3.3,24.4,2017,2017
42,204001,Kristaps Porzingis,6360.0,12,36,0,6,12,30,12,0,12,12,12,18,0,246,456,-210,276,36.0,1,NYK,89.1304347826087,165.2173913043478,33.3,36.6,4.3,4.3,0.0,4.3,0.0,4.3,22.2,2017,2017
43,1626195,Willy Hernangomez,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-18,0,0.0,1,NYK,,inf,,,,,,,,,,2017,2017
44,1626209,Mario Hezonja,1200.0,4,4,4,4,0,0,4,0,0,16,8,0,0,68,56,12,44,12.0,1,NYK,154.54545454545453,127.27272727272727,150.0,150.0,0.0,36.4,0.0,9.1,0.0,18.2,27.3,2017,2017
45,1627751,Jakob Poeltl,1815.0,10,10,0,0,5,5,0,0,10,5,0,0,0,210,35,175,50,25.0,1,NYK,420.0,70.0,100.0,102.5,20.0,10.0,0.0,0.0,0.0,0.0,24.4,2017,2017
46,1627783,Pascal Siakam,4425.0,10,20,0,0,0,0,0,0,15,0,10,15,5,190,165,25,160,20.0,1,NYK,118.75,103.125,50.0,50.0,9.4,0.0,0.0,0.0,3.1,6.2,18.8,2017,2017
